trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
47,Proposed,0.0167486,0.0218187,0.186373,0.0810419,0.0512383,0.400206,0.440782,0.0584229,0.295316,18.9512,0,0.06,0,0.934135,0
47,NoRelax-ProposedActive,0.0330218,0.0402317,0.350555,0.114687,0.111138,0.595023,0.489582,0.109715,0.407276,23.8857,0,0.0633333,0.02,0.901962,0
47,QS-Hinf,0.0263852,0.0322578,0.300151,0.0905707,0.0653226,0.39921,0.409513,0.0340565,0.200598,13.3512,0,0.0266667,0,0.991458,0
47,PDL-Hinf,0.0453932,0.0561958,0.459782,0.182039,0.168337,0.618979,0.558095,0.165403,0.626048,28.099,0,0.1,0.0366667,0.878147,0
47,RobustLQR,0.020811,0.0275295,0.239518,0.0846765,0.0556105,0.401733,0.411978,0.0478924,0.240028,13.0451,0,0.0566667,0,0.969689,0
47,Core-CQLF-Hinf,0.0246965,0.0310042,0.285143,0.0890703,0.0622514,0.400122,0.410398,0.0361768,0.211014,13.9424,0,0.0366667,0,0.990018,0
48,Proposed,0.0155742,0.0177409,0.176988,0.0708931,0.0467577,0.467547,0.440084,0.0624391,0.293341,20.967,0,0.0533333,0,0.97063,0
48,NoRelax-ProposedActive,0.0446028,0.0503449,0.482582,0.143438,0.137061,0.677544,0.4957,0.117677,0.342609,30.797,0,0.06,0.01,0.961799,0
48,QS-Hinf,0.043404,0.0638567,0.54605,0.12112,0.0791933,0.39921,0.407535,0.0349443,0.191947,12.92,0,0.0266667,0,0.994801,0
48,PDL-Hinf,0.0679273,0.0793005,0.713965,0.237161,0.224539,0.732168,0.551109,0.175232,0.439723,41.175,0,0.07,0.03,0.952583,0
48,RobustLQR,0.0338645,0.0467551,0.406256,0.0896111,0.0698849,0.401733,0.415295,0.0495129,0.244707,12.8499,0,0.05,0,0.983652,0
48,Core-CQLF-Hinf,0.0389042,0.0578687,0.486128,0.107227,0.0724216,0.400122,0.408274,0.0363768,0.202821,13.5004,0,0.0333333,0,0.993774,0
49,Proposed,0.029335,0.0363366,0.337812,0.0840681,0.0735579,0.400206,0.425366,0.0576335,0.4227,26.9354,0,0.0666667,0,0.964252,0
49,NoRelax-ProposedActive,0.0589835,0.0677473,0.634301,0.198903,0.176269,0.562228,0.514778,0.122429,0.632881,38.6204,0,0.0833333,0,0.956751,0
49,QS-Hinf,0.0322986,0.0415765,0.392343,0.100297,0.0733502,0.39921,0.418625,0.0335508,0.272029,22.2388,0,0.0266667,0,0.985794,0
49,PDL-Hinf,0.0846034,0.100304,0.871598,0.374513,0.28018,0.777709,0.711743,0.200811,0.958766,51.9518,0,0.14,0.0766667,0.948434,0
49,RobustLQR,0.0161736,0.022118,0.198413,0.0661879,0.0400833,0.401733,0.41883,0.045026,0.29775,16.3344,0,0.0533333,0,0.979261,0
49,Core-CQLF-Hinf,0.0346639,0.0418408,0.429977,0.105191,0.0760664,0.400122,0.418566,0.0353578,0.284244,23.3571,0,0.03,0,0.983776,0
50,Proposed,0.0194956,0.0252665,0.221893,0.0697609,0.054951,0.483912,0.439774,0.0617686,0.278486,21.3197,0,0.05,0,0.953797,0
50,NoRelax-ProposedActive,0.0425023,0.0505477,0.457282,0.139208,0.134826,0.729038,0.496901,0.121351,0.386564,29.0441,0,0.0633333,0.0133333,0.939,0
50,QS-Hinf,0.0264321,0.0346317,0.330383,0.0794277,0.0611936,0.39921,0.408965,0.0334529,0.187065,14.6467,0,0.0266667,0,0.991907,0
50,PDL-Hinf,0.0597655,0.0726914,0.622238,0.214861,0.204607,0.565073,0.547461,0.168412,0.566762,36.2061,0,0.0833333,0.03,0.921048,0
50,RobustLQR,0.0226414,0.0295594,0.270003,0.0746425,0.0538024,0.401733,0.411505,0.0485929,0.223882,13.7222,0,0.05,0,0.97604,0
50,Core-CQLF-Hinf,0.0246447,0.0330774,0.303781,0.0783363,0.0579896,0.400122,0.410124,0.0348803,0.195636,15.366,0,0.0333333,0,0.990416,0
51,Proposed,0.0203036,0.027322,0.221634,0.102237,0.061101,0.445108,0.514306,0.0498776,0.388775,20.4871,0,0.0533333,0.00333333,0.971471,0
51,NoRelax-ProposedActive,0.048058,0.0553962,0.524987,0.148841,0.141389,0.45316,0.660574,0.0778834,0.555462,31.348,0,0.07,0.0333333,0.962876,0
51,QS-Hinf,0.0438677,0.0621349,0.548032,0.117841,0.0811691,0.39921,0.420709,0.0317049,0.234114,9.57889,0,0.0333333,0,0.995108,0
51,PDL-Hinf,0.071835,0.083266,0.762073,0.247521,0.234601,0.404702,0.769025,0.120191,0.857489,42.7287,0,0.0966667,0.0533333,0.953955,0
51,RobustLQR,0.0355579,0.0500774,0.433471,0.105595,0.0743203,0.413652,0.421909,0.0503594,0.293148,11.4779,0,0.0433333,0,0.984354,0
51,Core-CQLF-Hinf,0.0400444,0.0574331,0.500349,0.110525,0.0758563,0.400122,0.422689,0.0331188,0.247702,10.248,0,0.0366667,0,0.994118,0
52,Proposed,0.0141898,0.019113,0.156319,0.0828979,0.0455828,0.452108,0.510088,0.0537731,0.387992,16.0103,0,0.0466667,0,0.951301,0
52,NoRelax-ProposedActive,0.0284178,0.0315261,0.307746,0.0992817,0.0910672,0.455243,0.602542,0.102474,0.507104,21.348,0,0.0566667,0.0233333,0.927899,0
52,QS-Hinf,0.0424162,0.0578551,0.540301,0.0974235,0.0818622,0.39921,0.426957,0.029333,0.219929,8.9772,0,0.0266667,0,0.99425,0
52,PDL-Hinf,0.0420671,0.0494919,0.437158,0.158832,0.150365,0.408154,0.70017,0.151495,0.651006,26.047,0,0.0666667,0.0366667,0.88707,0
52,RobustLQR,0.032356,0.0420067,0.39033,0.0851994,0.0695272,0.401733,0.432678,0.0424426,0.270418,10.6372,0,0.0366667,0,0.976667,0
52,Core-CQLF-Hinf,0.0394348,0.0540024,0.502633,0.0913025,0.077141,0.400122,0.4294,0.0307776,0.233878,9.51555,0,0.03,0,0.993204,0
53,Proposed,0.0126999,0.0162432,0.139594,0.074106,0.0420216,0.400206,0.48399,0.0544042,0.300768,16.2187,0,0.0433333,0,0.944502,0
