trial,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
63,0.023600038630284433,0.049705824246724734,0.2341558916335436,0.20278156522368213,0.07905880417039206,0.3868822622766385,0.4546211409752737,0.027512734698095193,0.22671675606040967,13.283310228199788,0.0,0.013333333333333334,0.013333333333333334,0.9572077512296924,0.0
64,0.01886320029000722,0.04485414238983485,0.17321843788010516,0.201032302082347,0.06664498381048921,0.40006209985972,0.4133691468368133,0.02934385491797122,0.1756235507495194,15.691088364838691,0.0,0.013333333333333334,0.013333333333333334,0.9480531266148662,0.0
65,0.01884251561088596,0.043701638423574524,0.17106549819203187,0.20195926397595426,0.06645976995482616,0.4141261102131088,0.41767609507242814,0.03018367829128691,0.2191640884048913,16.555669209128887,0.0,0.013333333333333334,0.013333333333333334,0.936544375613734,0.0
66,0.023288683777699555,0.04963889367392674,0.2434565416780062,0.20079625486857863,0.07715686250657353,0.38772537874788265,0.4272148848382646,0.029965059885234013,0.1968982570627907,15.101794870641868,0.0,0.013333333333333334,0.013333333333333334,0.9753336476132513,0.0
67,0.020934783551137974,0.04731495216402152,0.20682722194919362,0.2009825594937059,0.0711607236476178,0.39067363535809463,0.4264861962542873,0.028114512889044638,0.17278847465992592,15.553457863213623,0.0,0.013333333333333334,0.013333333333333334,0.9674642555800256,0.0
68,0.020686004070657606,0.04463233138237012,0.19485544131400118,0.20127567195620405,0.06877128444325949,0.42163273793567907,0.4224405095047741,0.029897595478810615,0.32509195990986256,18.895175806146074,0.0,0.016666666666666666,0.013333333333333334,0.9716518281438598,0.0
69,0.022854505275890256,0.04820215407696383,0.22847407071286246,0.2008521979612738,0.07528749253468059,0.38871285009916656,0.43965768857340365,0.027582584032522853,0.21477836560221142,14.256791507669238,0.0,0.013333333333333334,0.013333333333333334,0.9618454675436909,0.0
70,0.02252657854244789,0.04918470079331914,0.22068918386860545,0.20207476436451635,0.07415284603364022,0.38329872230681833,0.43931906305597807,0.027002971747429945,0.22760641239669008,14.572128185634183,0.0,0.016666666666666666,0.013333333333333334,0.9596048982987365,0.0
71,0.022135655089801295,0.047629924127987146,0.218219001377727,0.19989481366633913,0.0737660833292999,0.3912210026098225,0.4378692450404268,0.027784558487568833,0.19418144883158767,13.820856957295474,0.0,0.013333333333333334,0.013333333333333334,0.9562483776255442,0.0
72,0.015120962736709787,0.038979551413027475,0.1272123919370897,0.20002464373413648,0.061575576055504476,0.41736815656532583,0.4107466198988218,0.03589607173003535,0.16189515415524328,20.512381438029777,0.0,0.013333333333333334,0.013333333333333334,0.9733459180408641,0.0
73,0.024616497274094953,0.05048916399067283,0.25645706609314917,0.2011280493252601,0.0785624068350217,0.3879561809459431,0.4472395892798512,0.027207991277881434,0.2661991964103554,14.612417626221646,0.0,0.013333333333333334,0.013333333333333334,0.971470867104125,0.0
74,0.018902362585705445,0.046722983804767554,0.1693486413092566,0.2035205632808792,0.06850843152294828,0.38771989879188584,0.41823071605414325,0.0287642561125403,0.1869711281443372,15.867192733468583,0.0,0.02,0.013333333333333334,0.9480109124988265,0.0
75,0.015451802583658459,0.039024405904880745,0.12938741041061733,0.19977325520911562,0.062399854873941986,0.4200990199859723,0.4127068274248708,0.035814849107790245,0.18224460842963652,20.13438250600815,0.0,0.013333333333333334,0.013333333333333334,0.9686876645103796,0.0
76,0.02067410808412244,0.04721324020127949,0.20373108002907223,0.20167150717303153,0.07114753736995783,0.38830513807198047,0.4243567631321212,0.027944523772923113,0.16637094288301033,15.909805867233587,0.0,0.013333333333333334,0.013333333333333334,0.9692434874557674,0.0
77,0.02379284764174501,0.050386149430285125,0.2343224027788342,0.2035229620886959,0.07758391304207664,0.3848629553629416,0.4531022484155185,0.026390118150382363,0.2590750713381532,13.927823573738934,0.0,0.02,0.013333333333333334,0.9540557332639145,0.0
78,0.01476201523581544,0.040440077913145814,0.1259732095783032,0.19987363894846732,0.060074889763607774,0.4093912510215132,0.40668489460006657,0.03426042218055174,0.10638954969064725,18.924843560425522,0.0,0.013333333333333334,0.013333333333333334,0.9712845333389547,0.0
79,0.014790816476544021,0.039464605372713776,0.1223411667555688,0.20063571631286142,0.061231713639862,0.41336719075701295,0.40897974505712437,0.0351783684703939,0.12047112401697926,16.68735260685308,0.0,0.013333333333333334,0.013333333333333334,0.9361317555966132,0.0
80,0.01870542519160329,0.043571227921146864,0.1700199644131817,0.20180272460349,0.06575532668700783,0.4206175130332391,0.4122093210849919,0.029858786848243474,0.20791607503089382,16.496825515972468,0.0,0.013333333333333334,0.013333333333333334,0.9476574189114843,0.0
81,0.01998647533528122,0.04562251742719057,0.19339630441206646,0.19906947671863057,0.06961208392303303,0.3946084116229346,0.42165899258411405,0.029417451446343487,0.14026723634302862,15.35342600384904,0.0,0.013333333333333334,0.013333333333333334,0.9645633266634597,0.0
