trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
46,PDL-Hinf(d=0.85),0.0994143,0.230688,1.20165,0.427169,0.23653,0.8,0.779329,0.636854,3.0006,83.2967,0.0266667,0.926667,0.9,0.832144,0
47,Proposed,0.0154844,0.0192351,0.170248,0.0804035,0.0494346,0.403014,0.441515,0.0602273,0.292318,18.1572,0,0.06,0,0.941324,0
47,PDL-Hinf(d=0.95),0.0452064,0.0568864,0.457032,0.184265,0.166088,0.68623,0.543101,0.166676,0.620597,28.2696,0,0.1,0.0366667,0.878193,0
47,PDL-Hinf(d=0.90),0.0579584,0.0785087,0.540161,0.292032,0.19771,0.758743,0.737274,0.442752,1.14244,35.9981,0,0.243333,0.136667,0.864093,0
47,PDL-Hinf(d=0.85),0.474322,0.596819,4.86933,1.62703,1.2511,0.793784,0.8,0.429458,7.05362,507.297,0.00333333,0.996667,0.936667,0.845966,0
48,Proposed,0.0145109,0.0159255,0.165364,0.0704026,0.0430922,0.446135,0.441267,0.0625723,0.293709,19.9597,0,0.0533333,0,0.972579,0
48,PDL-Hinf(d=0.95),0.067399,0.0796313,0.708119,0.234276,0.221148,0.790331,0.542833,0.179547,0.438192,41.3478,0,0.0733333,0.0333333,0.950919,0
48,PDL-Hinf(d=0.90),0.0824929,0.118085,0.830435,0.328198,0.259447,0.8,0.542049,0.488139,0.703548,54.9835,0.00333333,0.123333,0.06,0.910642,0
48,PDL-Hinf(d=0.85),0.0972432,0.141863,0.949542,0.432408,0.296744,0.8,0.736468,1.2568,1.3905,68.7112,0.00333333,0.303333,0.21,0.878261,0
49,Proposed,0.0259215,0.031631,0.298805,0.0723715,0.0651761,0.400376,0.426468,0.0589868,0.408616,25.3617,0,0.0666667,0,0.967641,0
49,PDL-Hinf(d=0.95),0.084231,0.10116,0.866208,0.377216,0.277164,0.8,0.704533,0.20168,0.958043,52.217,0.00333333,0.143333,0.0766667,0.94675,0
49,PDL-Hinf(d=0.90),0.112057,0.174441,1.0997,0.566012,0.340092,0.692093,0.777607,0.490983,1.66864,77.9589,0,0.313333,0.24,0.907007,0
49,PDL-Hinf(d=0.85),7.26752,11.1761,53.7328,43.0989,28.7108,0.8,0.8,0.266978,7.12404,84392.6,0.00333333,0.96,0.93,0.882485,1
50,Proposed,0.0175777,0.022125,0.197788,0.0705513,0.0513577,0.466899,0.440065,0.0612605,0.273257,20.2738,0,0.05,0,0.958056,0
50,PDL-Hinf(d=0.95),0.059424,0.0734089,0.617922,0.213348,0.201778,0.626299,0.540689,0.172762,0.56514,36.4174,0,0.0833333,0.03,0.917303,0
50,PDL-Hinf(d=0.90),0.0734327,0.104738,0.711401,0.330887,0.239337,0.497462,0.639591,0.469091,0.961067,47.2086,0,0.173333,0.0933333,0.850872,0
50,PDL-Hinf(d=0.85),0.0954385,0.153737,0.940677,0.463622,0.279139,0.8,0.748534,1.08065,2.13362,65.8662,0.00666667,0.473333,0.403333,0.821141,0
51,Proposed,0.0192614,0.0255286,0.209729,0.10135,0.0593895,0.490736,0.515667,0.0537307,0.381792,19.5038,0,0.0533333,0.00333333,0.973494,0
51,PDL-Hinf(d=0.95),0.071227,0.0836733,0.75565,0.241798,0.230698,0.40408,0.762294,0.120183,0.853363,42.8778,0,0.0966667,0.0533333,0.952318,0
51,PDL-Hinf(d=0.90),0.0857162,0.122408,0.872342,0.316509,0.267785,0.628743,0.748086,0.370209,1.33477,56.8326,0,0.176667,0.0933333,0.913289,0
51,PDL-Hinf(d=0.85),0.0973315,0.146862,0.951209,0.379023,0.301179,0.624542,0.779492,0.976236,2.02356,66.5861,0,0.3,0.19,0.885079,0
52,Proposed,0.0144554,0.019473,0.160593,0.083308,0.0457607,0.42196,0.51117,0.0547334,0.378985,15.4487,0,0.0466667,0,0.955216,0
52,PDL-Hinf(d=0.95),0.0417685,0.0500018,0.433853,0.157161,0.148172,0.40408,0.692354,0.149594,0.651772,26.2276,0,0.0666667,0.04,0.8854,0
52,PDL-Hinf(d=0.90),0.0503024,0.0753544,0.491256,0.200674,0.169124,0.638107,0.682034,0.492519,0.948336,32.0136,0,0.106667,0.0666667,0.85979,0
52,PDL-Hinf(d=0.85),0.0557685,0.0875807,0.528331,0.227269,0.18223,0.8,0.709605,1.49896,1.42937,35.2973,0.00333333,0.19,0.116667,0.836239,0
53,Proposed,0.0127775,0.016402,0.141189,0.0747221,0.0417898,0.400376,0.485018,0.0557183,0.295853,15.6587,0,0.0433333,0,0.949232,0
53,PDL-Hinf(d=0.95),0.0384657,0.0466562,0.394701,0.147447,0.138932,0.611482,0.613202,0.172274,0.486942,24.8738,0,0.06,0.0333333,0.878997,0
53,PDL-Hinf(d=0.90),0.0462947,0.0691481,0.445451,0.191389,0.158965,0.596915,0.613304,0.527409,0.739914,29.7604,0,0.09,0.0566667,0.856176,0
53,PDL-Hinf(d=0.85),0.0521403,0.079465,0.484001,0.239474,0.173016,0.8,0.63544,1.60756,1.27162,33.3868,0.00666667,0.173333,0.123333,0.835508,0
54,Proposed,0.0164705,0.0207517,0.190447,0.0498986,0.0449161,0.400376,0.447857,0.0580634,0.204938,20.3578,0,0.03,0,0.971126,0
54,PDL-Hinf(d=0.95),0.0697228,0.0804537,0.73896,0.231709,0.222096,0.609089,0.590868,0.234917,0.408958,42.4915,0,0.0533333,0.02,0.948374,0
54,PDL-Hinf(d=0.90),0.0843155,0.119483,0.860069,0.306636,0.256566,0.764984,0.625301,0.814173,0.702401,56.4019,0,0.0733333,0.05,0.901216,0
54,PDL-Hinf(d=0.85),0.0950747,0.143955,0.940959,0.376074,0.286638,0.8,0.674265,2.73078,1.39848,66.8396,0.00333333,0.14,0.0833333,0.867954,0
55,Proposed,0.0124291,0.0147842,0.142859,0.0483845,0.0375923,0.400376,0.438751,0.0591171,0.194487,18.1673,0,0.03,0,0.959486,0
55,PDL-Hinf(d=0.95),0.0520492,0.0624564,0.540833,0.187214,0.177686,0.8,0.532565,0.238959,0.342011,32.3114,0.00333333,0.06,0.0133333,0.915716,0
55,PDL-Hinf(d=0.90),0.0628625,0.0929642,0.619042,0.257917,0.203107,0.716934,0.545217,0.740004,0.571829,40.6973,0,0.0833333,0.0433333,0.855951,0
55,PDL-Hinf(d=0.85),0.0719794,0.108513,0.67712,0.347589,0.231674,0.8,0.579663,2.41232,1.24769,48.1651,0.00333333,0.16,0.12,0.827429,0
56,Proposed,0.0179514,0.0252862,0.197946,0.09505,0.0542733,0.422101,0.540796,0.051033,0.597687,17.7812,0,0.05,0,0.977598,0
56,PDL-Hinf(d=0.95),0.0687876,0.0743333,0.740266,0.234499,0.212946,0.40408,0.79372,0.124551,1.22883,40.8154,0,0.113333,0.0733333,0.95905,0
56,PDL-Hinf(d=0.90),0.0825101,0.109904,0.862824,0.266862,0.239035,0.408743,0.77979,0.402607,1.72311,54.1335,0,0.193333,0.12,0.925482,0
56,PDL-Hinf(d=0.85),0.0923807,0.134335,0.942382,0.288549,0.258419,0.673058,0.778807,1.14231,2.32477,62.9403,0,0.303333,0.2,0.901258,0
57,Proposed,0.00977961,0.0108756,0.108193,0.0567957,0.0321842,0.400376,0.443273,0.0634284,0.239769,16.6672,0,0.05,0,0.951076,0
57,PDL-Hinf(d=0.95),0.0401114,0.0490354,0.403903,0.170039,0.148257,0.79245,0.502979,0.204602,0.376084,26.2137,0.00333333,0.08,0.0233333,0.890454,0
57,PDL-Hinf(d=0.90),0.0491751,0.0719621,0.464243,0.250116,0.172776,0.8,0.494991,0.607004,0.63978,32.0084,0.00333333,0.12,0.0533333,0.83915,0
57,PDL-Hinf(d=0.85),0.0651327,0.105651,0.64635,0.33226,0.19551,0.8,0.681087,1.38371,1.77428,47.2206,0.01,0.466667,0.396667,0.818268,0
58,Proposed,0.0130616,0.015554,0.150668,0.0443347,0.0381407,0.400376,0.436496,0.0595369,0.179124,18.6217,0,0.0266667,0,0.959512,0
58,PDL-Hinf(d=0.95),0.0538239,0.0644008,0.560825,0.193104,0.182128,0.679637,0.530751,0.245818,0.334011,33.3365,0,0.06,0.01,0.91561,0
58,PDL-Hinf(d=0.90),0.0648529,0.0957437,0.641055,0.26168,0.207481,0.8,0.550242,0.815698,0.588032,42.153,0.00333333,0.0766667,0.0433333,0.860777,0
58,PDL-Hinf(d=0.85),0.0736533,0.111801,0.697971,0.344376,0.234315,0.777961,0.584122,2.66676,1.27366,49.6088,0,0.156667,0.116667,0.831341,0
59,Proposed,0.0171694,0.0216021,0.200435,0.054522,0.0463164,0.400376,0.448525,0.0592906,0.222224,21.2723,0,0.0333333,0,0.975627,0
59,PDL-Hinf(d=0.95),0.0767339,0.0872824,0.816448,0.248731,0.237941,0.709109,0.596168,0.228441,0.421296,47.0535,0,0.0566667,0.0266667,0.957818,0
59,PDL-Hinf(d=0.90),0.0930268,0.128406,0.959746,0.32885,0.277016,0.537239,0.627746,0.67402,0.679676,63.2027,0,0.08,0.0533333,0.925922,0
